sort_method,id,title,release_date,release_year,vote_count,vote_average,popularity,overview,poster_path,backdrop_path,genres,keywords,runtime,tagline,imdb_id
rating,730647,Break the Silence: The Movie,2020-09-10,2020,186,9.043,2.7283,"K-pop sensation BTS embark on their 2019 'Love Yourself: Speak Yourself' Tour, as the seven members begin to candidly tell personal stories they have never voiced before.",/k1VK2L971GmEevIjFbjcimxSeMx.jpg,/8vDzqxZvrp7IdyAI5F8NePWGyEP.jpg,"Music, Documentary","pop star, pop music, concert film, boy band, k-pop",90,Borahae.,tt12850582
rating,753230,The Three Deaths of Marisela Escobedo,2020-10-14,2020,237,8.835,0.4894,"After the death of her daughter at the hand of her boyfriend, Marisela Escobedo began to fight for justice not only against the murderer but also against the corrupt Mexican judicial system.",/4E7nNHIchHWzpETfwAERxFuviO6.jpg,/vrx9KIwXm7nxz49Fs9iTjPgxq7A.jpg,"Documentary, Crime",vindictive,109,,tt13206564
rating,768141,Folklore: The Long Pond Studio Sessions,2020-11-25,2020,168,8.464,1.9589,"An intimate concert film, in which Taylor Swift performs each song from her album 'folklore' in order, as she reveals the meaning and the stories behind all 17 tracks for the very first time.",/4iroJUn8YuQBekDwGy7r61YHXiu.jpg,/xndolqiw6jMhDDkkw1UPuD1xfrT.jpg,"Music, Documentary","pop star, pop singer, recording studio, live performance, music recording, concert film, recording process, recording session, studio session, music documentary",106,Our coming of age has come and gone.,tt13524234
rating,664280,David Attenborough: A Life on Our Planet,2020-09-28,2020,399,8.44,1.7555,"The story of life on our planet by the man who has seen more of the natural world than any other. In more than 90 years, Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Addressing the biggest challenges facing life on our planet, the film offers a powerful message of hope for future generations.",/zSKwyUDKDHiFU5syTTvQRDcGBPS.jpg,/hHL4pwGzYS4njLpXhIjfc9skAQJ.jpg,"Documentary, Drama","climate change, biography, destruction of planet, nature, evolution, future vision, climate observatory, nature documentary, semi-biographical, save the planet",83,,tt11989890
rating,696374,Gabriel's Inferno,2020-05-29,2020,2436,8.4,2.4454,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg,/nIkcTtuhmkl1GZO2LfZi7SwFz7F.jpg,"Romance, Drama",,122,,tt11316854
name,730647,Break the Silence: The Movie,2020-09-10,2020,186,9.043,2.7283,"K-pop sensation BTS embark on their 2019 'Love Yourself: Speak Yourself' Tour, as the seven members begin to candidly tell personal stories they have never voiced before.",/k1VK2L971GmEevIjFbjcimxSeMx.jpg,/8vDzqxZvrp7IdyAI5F8NePWGyEP.jpg,"Music, Documentary","pop star, pop music, concert film, boy band, k-pop",90,Borahae.,tt12850582
name,664280,David Attenborough: A Life on Our Planet,2020-09-28,2020,399,8.44,1.7555,"The story of life on our planet by the man who has seen more of the natural world than any other. In more than 90 years, Attenborough has visited every continent on the globe, exploring the wild places of our planet and documenting the living world in all its variety and wonder. Addressing the biggest challenges facing life on our planet, the film offers a powerful message of hope for future generations.",/zSKwyUDKDHiFU5syTTvQRDcGBPS.jpg,/hHL4pwGzYS4njLpXhIjfc9skAQJ.jpg,"Documentary, Drama","climate change, biography, destruction of planet, nature, evolution, future vision, climate observatory, nature documentary, semi-biographical, save the planet",83,,tt11989890
name,768141,Folklore: The Long Pond Studio Sessions,2020-11-25,2020,168,8.464,1.9589,"An intimate concert film, in which Taylor Swift performs each song from her album 'folklore' in order, as she reveals the meaning and the stories behind all 17 tracks for the very first time.",/4iroJUn8YuQBekDwGy7r61YHXiu.jpg,/xndolqiw6jMhDDkkw1UPuD1xfrT.jpg,"Music, Documentary","pop star, pop singer, recording studio, live performance, music recording, concert film, recording process, recording session, studio session, music documentary",106,Our coming of age has come and gone.,tt13524234
name,696374,Gabriel's Inferno,2020-05-29,2020,2436,8.4,2.4454,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg,/nIkcTtuhmkl1GZO2LfZi7SwFz7F.jpg,"Romance, Drama",,122,,tt11316854
name,753230,The Three Deaths of Marisela Escobedo,2020-10-14,2020,237,8.835,0.4894,"After the death of her daughter at the hand of her boyfriend, Marisela Escobedo began to fight for justice not only against the murderer but also against the corrupt Mexican judicial system.",/4E7nNHIchHWzpETfwAERxFuviO6.jpg,/vrx9KIwXm7nxz49Fs9iTjPgxq7A.jpg,"Documentary, Crime",vindictive,109,,tt13206564
name_no_articles,730647,Break the Silence: The Movie,2020-09-10,2020,186,9.043,2.7283,"K-pop sensation BTS embark on their 2019 'Love Yourself: Speak Yourself' Tour, as the seven members begin to candidly tell personal stories they have never voiced before.",/k1VK2L971GmEevIjFbjcimxSeMx.jpg,/8vDzqxZvrp7IdyAI5F8NePWGyEP.jpg,"Music, Documentary","pop star, pop music, concert film, boy band, k-pop",90,Borahae.,tt12850582
